iter	Passed	Remaining
172	1425	6814
173	1429	6786
174	1434	6760
175	1438	6735
176	1442	6708
177	1447	6684
178	1451	6658
179	1455	6631
180	1460	6609
181	1464	6583
182	1469	6561
183	1473	6536
184	1478	6512
185	1482	6488
186	1487	6465
187	1491	6440
188	1495	6417
189	1499	6393
190	1503	6368
191	1506	6338
192	1510	6315
193	1514	6292
194	1518	6269
195	1523	6249
196	1528	6229
197	1532	6208
198	1537	6189
199	1542	6171
200	1546	6149
201	1551	6128
202	1556	6110
203	1560	6090
204	1565	6071
205	1570	6051
206	1574	6031
207	1578	6008
208	1582	5987
209	1586	5967
210	1590	5945
211	1594	5925
212	1598	5906
213	1602	5887
214	1607	5867
215	1610	5846
216	1615	5829
217	1620	5813
218	1625	5795
219	1630	5780
220	1634	5761
221	1639	5743
222	1643	5725
223	1647	5708
224	1652	5690
225	1656	5671
226	1660	5654
227	1665	5638
228	1669	5621
229	1673	5602
230	1678	5588
231	1682	5570
232	1686	5552
233	1690	5535
234	1695	5518
235	1699	5501
236	1703	5483
237	1707	5466
238	1711	5450
239	1715	5432
240	1719	5415
241	1724	5400
242	1727	5381
243	1731	5365
244	1735	5347
245	1739	5332
246	1743	5316
247	1748	5302
248	1752	5286
249	1756	5269
250	1760	5254
251	1764	5238
252	1768	5222
253	1772	5205
254	1776	5190
255	1781	5176
256	1785	5160
257	1788	5144
258	1793	5130
259	1797	5117
260	1801	5102
261	1805	5085
262	1809	5071
263	1814	5059
264	1818	5044
265	1822	5029
266	1827	5016
267	1831	5002
268	1835	4987
269	1839	4973
270	1843	4960
271	1847	4945
272	1852	4932
273	1856	4918
274	1860	4904
275	1864	4890
276	1867	4875
277	1872	4862
278	1876	4849
279	1880	4835
280	1884	4821
281	1888	4807
282	1892	4795
283	1897	4782
284	1898	4763
285	1902	4748
286	1906	4737
287	1910	4723
288	1914	4709
289	1917	4695
290	1921	4681
291	1925	4667
292	1928	4653
293	1932	4640
294	1936	4628
295	1940	4615
296	1943	4600
297	1947	4587
298	1952	4577
299	1956	4564
300	1959	4551
301	1963	4539
302	1967	4526
303	1972	4514
304	1975	4501
305	1979	4488
306	1982	4476
307	1987	4464
308	1990	4451
309	1995	4441
310	1999	4429
311	2003	4418
312	2006	4404
313	2010	4392
314	2014	4380
315	2018	4369
316	2022	4357
317	2026	4345
318	2029	4332
319	2033	4321
320	2037	4309
321	2041	4297
322	2044	4285
323	2048	4274
324	2053	4264
325	2056	4252
326	2060	4241
327	2064	4229
328	2068	4218
329	2072	4207
330	2075	4195
331	2079	4183
332	2083	4173
333	2087	4162
334	2091	4150
335	2094	4139
336	2098	4127
337	2102	4117
338	2105	4106
339	2110	4095
340	2111	4081
341	2114	4067
342	2118	4058
343	2122	4047
344	2126	4036
345	2129	4025
346	2134	4016
347	2138	4006
348	2142	3996
349	2147	3987
350	2151	3978
351	2155	3968
352	2159	3957
353	2163	3948
354	2168	3939
355	2171	3929
356	2175	3918
357	2180	3909
358	2184	3899
359	2188	3889
360	2192	3880
361	2196	3871
362	2200	3862
363	2204	3852
364	2208	3842
365	2213	3834
366	2217	3824
367	2220	3813
368	2224	3804
369	2229	3796
370	2233	3786
371	2237	3776
372	2240	3766
373	2244	3757
374	2248	3747
375	2252	3738
376	2256	3728
377	2260	3719
378	2264	3709
379	2267	3699
380	2271	3690
381	2275	3680
382	2279	3671
383	2283	3662
384	2286	3652
385	2290	3642
386	2294	3634
387	2298	3625
388	2301	3615
389	2305	3606
390	2309	3597
391	2313	3588
392	2317	3579
393	2321	3570
394	2324	3560
395	2328	3551
396	2332	3542
397	2335	3533
398	2340	3525
399	2344	3516
400	2348	3507
401	2351	3498
402	2355	3489
403	2359	3480
404	2363	3471
405	2367	3463
406	2370	3453
407	2374	3445
408	2379	3438
409	2383	3429
410	2386	3420
